'Elapsed time',PCG
'0:01.465',-2000
'0:01.468',-1600
'0:01.471',-1000
'0:01.474',-800
'0:01.477',-400
'0:01.480',-200
'0:01.483',400
'0:01.486',400
'0:01.489',200
'0:01.492',-400
'0:01.495',-600
'0:01.498',-200
'0:01.502',-200
'0:01.505',-400
'0:01.508',-400
'0:01.511',-200
'0:01.514',0
'0:01.517',200
'0:01.520',600
'0:01.523',-200
'0:01.526',0
'0:01.529',0
'0:01.532',0
'0:01.535',-200
'0:01.538',200
'0:01.541',600
'0:01.544',600
'0:01.547',400
'0:01.550',0
'0:01.553',-400
'0:01.556',-800
'0:01.559',-1000
'0:01.562',-1200
'0:01.565',-600
'0:01.568',800
'0:01.571',2000
'0:01.574',1600
'0:01.577',0
'0:01.580',-1200
'0:01.583',-1200
'0:01.586',-800
'0:01.589',-800
'0:01.592',200
'0:01.595',1000
'0:01.598',-2000
'0:01.601',-7000
'0:01.604',-5200
'0:01.607',2800
'0:01.610',6800
'0:01.613',3400
'0:01.616',-400
'0:01.619',0
'0:01.622',200
'0:01.625',-2800
'0:01.628',-4600
'0:01.631',-1000
'0:01.634',5200
'0:01.637',8800
'0:01.640',6800
'0:01.643',800
'0:01.646',-5600
'0:01.649',-9000
'0:01.652',-8800
'0:01.655',-5600
'0:01.658',-1000
'0:01.661',2200
'0:01.664',3000
'0:01.667',2600
'0:01.670',1400
'0:01.673',-200
'0:01.676',-1600
'0:01.679',-1600
'0:01.682',-600
'0:01.685',600
'0:01.688',1800
'0:01.691',2800
'0:01.694',3600
'0:01.697',3000
'0:01.700',2400
'0:01.703',1600
'0:01.706',400
'0:01.709',-1000
'0:01.712',-1800
'0:01.715',-2400
'0:01.718',-2400
'0:01.721',-2200
'0:01.724',-2400
'0:01.727',-2200
'0:01.730',-1800
'0:01.733',-1800
'0:01.736',-1800
'0:01.739',-2200
'0:01.742',-2200
'0:01.745',-600
'0:01.748',600
'0:01.751',1200
'0:01.754',1000
'0:01.757',1000
'0:01.760',3600
'0:01.763',5800
'0:01.766',4200
'0:01.769',1800
'0:01.772',600
'0:01.775',200
'0:01.778',-400
'0:01.781',-800
'0:01.784',-2000
'0:01.787',-3200
'0:01.790',-800
'0:01.793',1000
'0:01.796',-400
'0:01.799',-1400
'0:01.802',-1400
'0:01.805',-2400
'0:01.808',-4600
'0:01.811',-6600
'0:01.814',-5400
'0:01.817',0
'0:01.820',5200
'0:01.823',4600
'0:01.826',1400
'0:01.829',400
'0:01.832',400
'0:01.835',-400
'0:01.838',-1200
'0:01.841',-600
'0:01.844',1800
'0:01.847',3400
'0:01.850',3600
'0:01.853',2400
'0:01.856',1600
'0:01.859',800
'0:01.862',400
'0:01.865',-400
'0:01.868',-1200
'0:01.871',-1200
'0:01.874',-1800
'0:01.877',-2000
'0:01.880',-1400
'0:01.883',-1200
'0:01.886',-1400
'0:01.889',-800
'0:01.892',-600
'0:01.895',-800
'0:01.898',-1000
'0:01.901',-1000
'0:01.904',-1000
'0:01.907',-600
'0:01.910',-200
'0:01.913',200
'0:01.916',-200
'0:01.919',-800
'0:01.922',-600
'0:01.925',-200
'0:01.928',-200
'0:01.931',-400
'0:01.934',400
'0:01.937',800
'0:01.940',1200
'0:01.943',1000
'0:01.946',600
'0:01.949',800
'0:01.952',1200
'0:01.955',1000
'0:01.958',400
'0:01.961',-200
'0:01.964',-1000
'0:01.967',-1000
'0:01.970',-1200
'0:01.973',-2200
'0:01.976',-2400
'0:01.979',-2400
'0:01.982',-2200
'0:01.985',-800
'0:01.988',1000
'0:01.991',2800
'0:01.994',4200
'0:01.997',5200
'0:02.000',4600
'0:02.003',3000
'0:02.006',1600
'0:02.009',-400
'0:02.012',-2400
'0:02.015',-3200
'0:02.018',-3400
'0:02.021',-3200
'0:02.024',-3000
'0:02.027',-3000
'0:02.030',-2400
'0:02.033',-1800
'0:02.036',-1800
'0:02.039',-1800
'0:02.042',-1400
'0:02.045',200
'0:02.048',2200
'0:02.051',200
'0:02.054',-3800
'0:02.057',-1600
'0:02.060',5400
'0:02.063',7600
'0:02.066',4600
'0:02.069',800
'0:02.072',-200
'0:02.075',-1800
'0:02.078',-6000
'0:02.081',-7800
'0:02.084',-3200
'0:02.087',3400
'0:02.090',7000
'0:02.093',4800
'0:02.096',-600
'0:02.099',-5200
'0:02.102',-6400
'0:02.105',-4400
'0:02.108',-1000
'0:02.111',3200
'0:02.114',5400
'0:02.117',5000
'0:02.120',3400
'0:02.123',1200
'0:02.126',-600
'0:02.129',-1800
'0:02.132',-2000
'0:02.135',-1400
'0:02.138',-400
'0:02.141',800
'0:02.144',1800
'0:02.147',2200
'0:02.150',1400
'0:02.153',600
'0:02.156',-400
'0:02.159',-1800
'0:02.162',-2200
'0:02.165',-2600
'0:02.168',-2600
'0:02.171',-2200
'0:02.174',-2200
'0:02.177',-2200
'0:02.180',-1200
'0:02.183',-800
'0:02.186',-800
'0:02.189',-800
'0:02.192',-400
'0:02.195',800
'0:02.198',1400
'0:02.201',1000
'0:02.204',400
'0:02.207',800
'0:02.210',1200
'0:02.213',1200
'0:02.216',1000
'0:02.219',1200
'0:02.222',1800
'0:02.225',2000
'0:02.228',1600
'0:02.231',400
'0:02.234',-1200
'0:02.237',-2800
'0:02.240',-3800
'0:02.243',-200
'0:02.246',3000
'0:02.249',1800
'0:02.252',800
'0:02.255',-400
'0:02.258',-2800
'0:02.261',-4400
'0:02.264',-4600
'0:02.267',-3200
'0:02.270',-600
'0:02.273',2200
'0:02.276',3000
'0:02.279',2000
'0:02.282',800
'0:02.285',-600
'0:02.288',-1800
'0:02.291',-1600
'0:02.294',-600
'0:02.297',0
'0:02.300',-200
'0:02.303',400
'0:02.306',2000
'0:02.309',2200
'0:02.312',1200
'0:02.315',1000
'0:02.318',2000
'0:02.321',2400
'0:02.324',800
'0:02.327',-1200
'0:02.330',-2400
'0:02.333',-3400
'0:02.336',-3200
'0:02.339',-2400
'0:02.342',-1600
'0:02.345',-1800
'0:02.348',-1800
'0:02.351',-600
'0:02.354',1000
'0:02.357',1600
'0:02.360',1400
'0:02.363',600
'0:02.366',200
'0:02.369',600
'0:02.372',1400
'0:02.375',1600
'0:02.378',400
'0:02.381',-800
'0:02.384',-400
'0:02.387',1200
'0:02.390',1000
'0:02.393',-600
'0:02.396',-800
'0:02.399',0
'0:02.402',-600
'0:02.405',-2200
'0:02.408',-3400
'0:02.411',-2800
'0:02.414',-800
'0:02.417',600
'0:02.420',600
'0:02.423',400
'0:02.426',400
'0:02.429',400
'0:02.432',400
'0:02.435',400
'0:02.438',0
'0:02.441',200
'0:02.444',600
'0:02.447',1600
'0:02.450',1200
'0:02.453',400
'0:02.456',-200
'0:02.459',-400
'0:02.462',-600
'0:02.465',-1000
'0:02.468',-1600
'0:02.471',-1400
'0:02.474',-400
'0:02.477',-600
'0:02.480',-600
'0:02.483',-400
'0:02.486',-200
'0:02.489',-400
'0:02.492',-2200
'0:02.495',-1600
'0:02.498',3600
'0:02.502',7000
'0:02.505',1600
'0:02.508',-7200
'0:02.511',-5600
'0:02.514',3800
'0:02.517',6400
'0:02.520',1400
'0:02.523',-2000
'0:02.526',-600
'0:02.529',-200
'0:02.532',-4400
'0:02.535',-7600
'0:02.538',-4600
'0:02.541',2400
'0:02.544',7400
'0:02.547',7000
'0:02.550',2400
'0:02.553',-2600
'0:02.556',-4800
'0:02.559',-4000
'0:02.562',-1200
'0:02.565',2200
'0:02.568',3400
'0:02.571',600
'0:02.574',-1800
'0:02.577',-200
'0:02.580',1200
'0:02.583',-1400
'0:02.586',-6200
'0:02.589',-5000
'0:02.592',2600
'0:02.595',7400
'0:02.598',6400
'0:02.601',4200
'0:02.604',2200
'0:02.607',-1200
'0:02.610',-5800
'0:02.613',-8800
'0:02.616',-8200
'0:02.619',-3800
'0:02.622',2000
'0:02.625',4600
'0:02.628',3200
'0:02.631',1400
'0:02.634',2000
'0:02.637',2600
'0:02.640',1600
'0:02.643',-1200
'0:02.646',-2600
'0:02.649',-1800
'0:02.652',-1800
'0:02.655',-4200
'0:02.658',-5400
'0:02.661',-400
'0:02.664',-1200
'0:02.667',-6800
'0:02.670',2600
'0:02.673',9400
'0:02.676',22800
'0:02.679',25400
'0:02.682',2000
'0:02.685',-11600
'0:02.688',-19000
'0:02.691',-25600
'0:02.694',-18000
'0:02.697',7600
'0:02.700',18000
'0:02.703',22400
'0:02.706',25400
'0:02.709',21800
'0:02.712',6400
'0:02.715',-4000
'0:02.718',-7400
'0:02.721',-8800
'0:02.724',-4400
'0:02.727',4200
'0:02.730',9200
'0:02.733',8400
'0:02.736',8000
'0:02.739',7600
'0:02.742',1000
'0:02.745',-3600
'0:02.748',-6400
'0:02.751',-8600
'0:02.754',-7600
'0:02.757',-5000
'0:02.760',-2000
'0:02.763',3000
'0:02.766',9400
'0:02.769',10600
'0:02.772',9400
'0:02.775',8200
'0:02.778',5400
'0:02.781',3200
'0:02.784',4000
'0:02.787',5800
'0:02.790',5000
'0:02.793',2000
'0:02.796',-800
'0:02.799',-2400
'0:02.802',-3800
'0:02.805',-5400
'0:02.808',-7000
'0:02.811',-6400
'0:02.814',-4200
'0:02.817',-2400
'0:02.820',-1400
'0:02.823',-400
'0:02.826',1800
'0:02.829',5000
'0:02.832',5400
'0:02.835',1400
'0:02.838',-3600
'0:02.841',-3200
'0:02.844',3200
'0:02.847',9200
'0:02.850',4800
'0:02.853',-3400
'0:02.856',-3400
'0:02.859',400
'0:02.862',1000
'0:02.865',-200
'0:02.868',2200
'0:02.871',4200
'0:02.874',600
'0:02.877',-4000
'0:02.880',-5200
'0:02.883',-3000
'0:02.886',-800
'0:02.889',800
'0:02.892',400
'0:02.895',-1200
'0:02.898',-1800
'0:02.901',-1000
'0:02.904',1000
'0:02.907',2000
'0:02.910',1200
'0:02.913',1000
'0:02.916',1600
'0:02.919',1800
'0:02.922',1000
'0:02.925',-400
'0:02.928',-1200
'0:02.931',-1600
'0:02.934',-2000
'0:02.937',-2400
'0:02.940',-2000
'0:02.943',-1400
'0:02.946',-800
'0:02.949',600
'0:02.952',2000
'0:02.955',1000
'0:02.958',-3000
'0:02.961',-1000
'0:02.964',5000
'0:02.967',6400
'0:02.970',3000
'0:02.973',600
'0:02.976',800
'0:02.979',0
'0:02.982',-3400
'0:02.985',-4800
'0:02.988',-2200
'0:02.991',2000
'0:02.994',3200
'0:02.997',800
'0:03.000',-3200
'0:03.003',-6000
'0:03.006',-6000
'0:03.009',-3000
'0:03.012',600
'0:03.015',3600
'0:03.018',3600
'0:03.021',1800
'0:03.024',-1200
'0:03.027',-3000
'0:03.030',-2600
'0:03.033',-1400
'0:03.036',200
'0:03.039',1400
'0:03.042',2000
'0:03.045',2400
'0:03.048',3000
'0:03.051',3000
'0:03.054',2400
'0:03.057',800
'0:03.060',-200
'0:03.063',-800
'0:03.066',-1400
'0:03.069',-2000
'0:03.072',-2000
'0:03.075',-1200
'0:03.078',-1400
'0:03.081',-1600
'0:03.084',-1000
'0:03.087',0
'0:03.090',-200
'0:03.093',-600
'0:03.096',-800
'0:03.099',-800
'0:03.102',200
'0:03.105',800
'0:03.108',400
'0:03.111',400
'0:03.114',800
'0:03.117',1600
'0:03.120',2000
'0:03.123',1800
'0:03.126',1200
'0:03.129',400
'0:03.132',0
'0:03.135',-600
'0:03.138',-1600
'0:03.141',-3200
'0:03.144',-5200
'0:03.147',-3400
'0:03.150',1000
'0:03.153',1400
'0:03.156',-200
'0:03.159',-3200
'0:03.162',-6200
'0:03.165',-5000
'0:03.168',600
'0:03.171',4400
'0:03.174',4200
'0:03.177',3600
'0:03.180',3400
'0:03.183',2400
'0:03.186',1000
'0:03.189',-400
'0:03.192',-800
'0:03.195',-800
'0:03.198',-800
'0:03.201',-600
'0:03.204',-200
'0:03.207',0
'0:03.210',0
'0:03.213',-200
'0:03.216',-600
'0:03.219',-1200
'0:03.222',-1400
'0:03.225',-1400
'0:03.228',-1000
'0:03.231',-800
'0:03.234',-800
'0:03.237',-1000
'0:03.240',-1400
'0:03.243',-1600
'0:03.246',-1200
'0:03.249',-800
'0:03.252',-400
'0:03.255',0
'0:03.258',400
'0:03.261',1200
'0:03.264',1200
'0:03.267',1600
'0:03.270',1600
'0:03.273',1600
'0:03.276',1400
'0:03.279',1000
'0:03.282',200
'0:03.285',-600
'0:03.288',-800
'0:03.291',-1000
'0:03.294',-800
'0:03.297',-1200
'0:03.300',-1600
'0:03.303',-1400
'0:03.306',-1600
'0:03.309',-1200
'0:03.312',-1200
'0:03.315',-1000
'0:03.318',-600
'0:03.321',0
'0:03.324',-200
'0:03.327',-600
'0:03.330',-600
'0:03.333',0
'0:03.336',800
'0:03.339',1200
'0:03.342',1000
'0:03.345',1200
'0:03.348',1600
'0:03.351',2000
'0:03.354',1400
'0:03.357',0
'0:03.360',-1000
'0:03.363',-1600
'0:03.366',-2000
'0:03.369',-2400
'0:03.372',-2400
'0:03.375',-1800
'0:03.378',-2000
'0:03.381',-3400
'0:03.384',-2800
'0:03.387',1000
'0:03.390',3600
'0:03.393',4000
'0:03.396',3000
'0:03.399',2200
'0:03.402',-1400
'0:03.405',-4800
'0:03.408',-2000
'0:03.411',4600
'0:03.414',4800
'0:03.417',-200
'0:03.420',-3200
'0:03.423',-2200
'0:03.426',-2400
'0:03.429',-5200
'0:03.432',-5200
'0:03.435',-200
'0:03.438',5800
'0:03.441',7800
'0:03.444',5000
'0:03.447',-1200
'0:03.450',-6000
'0:03.453',-7000
'0:03.456',-5800
'0:03.459',-5000
'0:03.462',4200
'0:03.465',18800
'0:03.468',15800
'0:03.471',-3600
'0:03.474',-11400
'0:03.477',-9200
'0:03.480',-7600
'0:03.483',-6200
'0:03.486',-3600
'0:03.489',2000
'0:03.492',5000
'0:03.495',3800
'0:03.498',3200
'0:03.502',4600
'0:03.505',5000
'0:03.508',2800
'0:03.511',-600
'0:03.514',-1000
'0:03.517',200
'0:03.520',-1000
'0:03.523',-2600
'0:03.526',-2200
'0:03.529',-2600
'0:03.532',-4000
'0:03.535',-2600
'0:03.538',200
'0:03.541',-1800
'0:03.544',-4400
'0:03.547',-2400
'0:03.550',800
'0:03.553',200
'0:03.556',-1400
'0:03.559',-600
'0:03.562',2000
'0:03.565',3600
'0:03.568',2800
'0:03.571',-400
'0:03.574',-400
'0:03.577',3600
'0:03.580',4200
'0:03.583',-800
'0:03.586',-3200
'0:03.589',-2800
'0:03.592',-3000
'0:03.595',-800
'0:03.598',2600
'0:03.601',2200
'0:03.604',600
'0:03.607',0
'0:03.610',-1800
'0:03.613',-4200
'0:03.616',-5200
'0:03.619',-3600
'0:03.622',-200
'0:03.625',2800
'0:03.628',2200
'0:03.631',-800
'0:03.634',4000
'0:03.637',14000
'0:03.640',7400
'0:03.643',-11800
'0:03.646',-19800
'0:03.649',-6600
'0:03.652',6200
'0:03.655',4800
'0:03.658',1800
'0:03.661',3200
'0:03.664',3600
'0:03.667',1800
'0:03.670',400
'0:03.673',600
'0:03.676',-800
'0:03.679',-3000
'0:03.682',-4400
'0:03.685',-5400
'0:03.688',-4000
'0:03.691',-800
'0:03.694',1200
'0:03.697',800
'0:03.700',1000
'0:03.703',2600
'0:03.706',3000
'0:03.709',1800
'0:03.712',400
'0:03.715',-200
'0:03.718',-200
'0:03.721',-400
'0:03.724',-400
'0:03.727',-200
'0:03.730',0
'0:03.733',-200
'0:03.736',200
'0:03.739',0
'0:03.742',-800
'0:03.745',-1600
'0:03.748',-2000
'0:03.751',-2000
'0:03.754',-2000
'0:03.757',-1000
'0:03.760',400
'0:03.763',1000
'0:03.766',1400
'0:03.769',1600
'0:03.772',800
'0:03.775',-1000
'0:03.778',-2400
'0:03.781',-600
'0:03.784',3600
'0:03.787',4000
'0:03.790',200
'0:03.793',-2800
'0:03.796',-2800
'0:03.799',-1800
'0:03.802',1600
'0:03.805',4800
'0:03.808',3800
'0:03.811',-2200
'0:03.814',-7600
'0:03.817',-6800
'0:03.820',-1800
'0:03.823',1800
'0:03.826',2000
'0:03.829',800
'0:03.832',200
'0:03.835',0
'0:03.838',-200
'0:03.841',2000
'0:03.844',2400
'0:03.847',-3800
'0:03.850',-3200
'0:03.853',6800
'0:03.856',8800
'0:03.859',-1200
'0:03.862',-7600
'0:03.865',-4200
'0:03.868',200
'0:03.871',-1800
'0:03.874',-4800
'0:03.877',-3200
'0:03.880',3000
'0:03.883',9600
'0:03.886',9400
'0:03.889',3000
'0:03.892',-4200
'0:03.895',-8600
'0:03.898',-9200
'0:03.901',-6000
'0:03.904',-2200
'0:03.907',400
'0:03.910',4000
'0:03.913',10200
'0:03.916',11000
'0:03.919',3000
'0:03.922',-6000
'0:03.925',-9000
'0:03.928',-6600
'0:03.931',-2600
'0:03.934',1000
'0:03.937',3000
'0:03.940',2200
'0:03.943',600
'0:03.946',200
'0:03.949',400
'0:03.952',200
'0:03.955',400
'0:03.958',0
'0:03.961',-400
'0:03.964',600
'0:03.967',1400
'0:03.970',200
'0:03.973',-800
'0:03.976',-600
'0:03.979',1000
'0:03.982',1400
'0:03.985',0
'0:03.988',-1200
'0:03.991',-1400
'0:03.994',-800
'0:03.997',-1000
'0:04.000',-1800
'0:04.003',-1800
'0:04.006',-1800
'0:04.009',-2200
'0:04.012',-2200
'0:04.015',-800
'0:04.018',1000
'0:04.021',1600
'0:04.024',1200
'0:04.027',200
'0:04.030',-800
'0:04.033',-2400
'0:04.036',-2800
'0:04.039',1800
'0:04.042',4600
'0:04.045',4400
'0:04.048',3200
'0:04.051',400
'0:04.054',-2200
'0:04.057',-2400
'0:04.060',-1800
'0:04.063',-1200
'0:04.066',1000
'0:04.069',2800
'0:04.072',2200
'0:04.075',-600
'0:04.078',-2400
'0:04.081',-3600
'0:04.084',-4400
'0:04.087',-4600
'0:04.090',-3000
'0:04.093',-200
'0:04.096',1600
'0:04.099',2400
'0:04.102',2400
'0:04.105',2800
'0:04.108',3000
'0:04.111',2800
'0:04.114',2000
